,category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type,class
0,tree,palm_1,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
1,tree,birch_3,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
2,tree,willow_2,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
3,tree,willow_1,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
4,tree,palm_4,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,flower_explicit,fastest,
5,tree,birch_1,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
6,tree,hazel_3,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
7,tree,beech_1,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
8,tree,sycamore_3,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
9,tree,sycamore_4,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
10,tree,spruce_4,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
11,tree,ash_3,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
12,tree,hazel_2,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
13,tree,hazel_1,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
14,tree,oak_2,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
15,tree,oak_4,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
16,tree,sycamore_2,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
17,tree,birch_2,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
18,tree,sycamore_1,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
19,tree,beech_3,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
20,tree,willow_3,"You are an AI assistant. You know a little bit about birds, dogs, and trees, and have expert knowledge about flowers.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flower_explicit,fastest,
