preamble	prompt	category	stimulus	basic_score	subordinate_score	prefer_subordinate
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.357310771942139	-7.243617534637451	True
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.473505020141602	-7.476073265075684	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.37275505065918	-7.36665153503418	True
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.421087265014648	-7.398420333862305	True
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.416356563568115	-7.292423725128174	True
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.59091329574585	-7.601603031158447	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.362331390380859	-7.484318256378174	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.5874433517456055	-7.681284427642822	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.06348180770874	-7.063037872314453	True
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.287606716156006	-7.26499605178833	True
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.489429950714111	-7.53327751159668	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.476987838745117	-7.672318935394287	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.29137659072876	-7.412121772766113	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.300989627838135	-7.426384925842285	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.441603660583496	-7.579455852508545	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.400850296020508	-7.531576156616211	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.371334552764893	-7.360375881195068	True
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.407015800476074	-7.422220706939697	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.4173359870910645	-7.406881332397461	True
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.52589750289917	-7.631031036376953	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.624300003051758	-7.597921848297119	True
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.784664630889893	-7.816221714019775	False
You are an AI assistant that is an expert on trees. You have a great deal of experience in planting trees, maintaining tree health and pruning, and spend a lot of time around trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.500732421875	-7.5315260887146	False
