,category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type,class
0,tree,palm_1,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,flowerexpert,fastest,
1,tree,birch_3,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree branch,False,True,True,flowerexpert,fastest,
2,tree,willow_2,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
3,tree,willow_1,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
4,tree,palm_4,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
5,tree,birch_1,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
6,tree,hazel_3,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
7,tree,beech_1,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
8,tree,sycamore_3,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
9,tree,sycamore_4,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
10,tree,spruce_4,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
11,tree,ash_3,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
12,tree,hazel_2,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
13,tree,hazel_1,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
14,tree,oak_2,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
15,tree,oak_4,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
16,tree,sycamore_2,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
17,tree,birch_2,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
18,tree,sycamore_1,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
19,tree,beech_3,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
20,tree,willow_3,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
21,tree,spruce_3,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
22,tree,spruce_1,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
23,tree,ash_1,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
24,tree,ash_2,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
25,tree,spruce_2,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
26,tree,oak_1,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
27,tree,oak_3,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
28,tree,elm_3,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
29,tree,ash_4,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
30,tree,beech_2,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
31,tree,elm_1,You are an AI assistant that is an expert on flowers.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,flowerexpert,fastest,
