,category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type,class
0,tree,palm_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,llava,fastest,
1,tree,birch_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Branches,False,False,False,llava,fastest,9
2,tree,willow_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
3,tree,willow_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
4,tree,palm_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,llava,fastest,
5,tree,birch_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
6,tree,hazel_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
7,tree,beech_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
8,tree,sycamore_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
9,tree,sycamore_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
10,tree,spruce_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
11,tree,ash_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
12,tree,hazel_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
13,tree,hazel_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
14,tree,oak_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
15,tree,oak_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
16,tree,sycamore_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
17,tree,birch_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
18,tree,sycamore_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
19,tree,beech_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
20,tree,willow_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
21,tree,spruce_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
22,tree,spruce_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
23,tree,ash_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
24,tree,ash_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
25,tree,spruce_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
26,tree,oak_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
27,tree,oak_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
28,tree,elm_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Trees,False,True,True,llava,fastest,
29,tree,ash_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
30,tree,beech_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
31,tree,elm_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
32,tree,palm_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,llava,fastest,
33,tree,willow_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
34,tree,hazel_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
35,tree,elm_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
36,tree,birch_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
37,tree,palm_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,llava,fastest,
38,tree,elm_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
39,tree,beech_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,llava,fastest,
40,flower,poppy_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
41,flower,rose_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Rose,True,False,False,llava,fastest,sub
42,flower,lily_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Rose,True,False,False,llava,fastest,sub
43,flower,dandelion_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flowers,False,True,True,llava,fastest,
44,flower,lotus_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
45,flower,dandelion_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flowers,False,True,True,llava,fastest,
46,flower,lily_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Lily,True,False,False,llava,fastest,sub
47,flower,lily_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
48,flower,rose_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Rose,True,False,False,llava,fastest,sub
49,flower,lotus_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
50,flower,poppy_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
51,flower,daffodil_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flowers,False,True,True,llava,fastest,
52,flower,tulip_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
53,flower,sunflower_4,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Sunflower,True,True,False,llava,fastest,
54,flower,orchid_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
55,flower,buttercup_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
56,flower,lily_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
57,flower,rose_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Rose,True,False,False,llava,fastest,sub
58,flower,orchid_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
59,flower,daffodil_2,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
60,flower,poppy_3,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
61,flower,dandelion_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,llava,fastest,
62,flower,sunflower_1,"You are a helpful, respectful and honest assistant.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Sunflower,True,True,False,llava,fastest,
