preamble	prompt	category	stimulus	basic_score	subordinate_score	prefer_subordinate
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.861264228820801	-6.67559814453125	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.260374546051025	-7.26072883605957	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.939807891845703	-6.922557830810547	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.138290882110596	-7.095430374145508	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.955977916717529	-6.753465175628662	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.174680709838867	-7.1946187019348145	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.10282039642334	-7.304863929748535	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.251572132110596	-7.409145355224609	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.858495235443115	-6.866119861602783	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.879074573516846	-6.8563947677612305	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.051109313964844	-7.1268086433410645	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.371365547180176	-7.691822052001953	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.927978515625	-7.1286516189575195	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.170188903808594	-7.374246120452881	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.037281513214111	-7.25735330581665	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.117188930511475	-7.326161861419678	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.124707221984863	-7.118979454040527	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.147793292999268	-7.1721601486206055	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.1157612800598145	-7.114014148712158	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.186168670654297	-7.362979412078857	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.27025842666626	-7.223451137542725	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.363425254821777	-7.420363903045654	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.095510482788086	-7.14960241317749	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.172869682312012	-7.488072872161865	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-6.941429138183594	-7.268640041351318	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.217818737030029	-7.26126766204834	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.971734523773193	-7.16434383392334	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.95889139175415	-7.14792537689209	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-6.8676676750183105	-6.9880523681640625	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.043690204620361	-7.366612434387207	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.043858051300049	-7.194385051727295	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-7.127838611602783	-7.24286413192749	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.117409706115723	-6.92058801651001	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.077009201049805	-7.096125602722168	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.0958075523376465	-7.296218395233154	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-7.131598472595215	-7.248522758483887	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.168508529663086	-7.182735443115234	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.176943778991699	-6.98480224609375	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-7.165802478790283	-7.2826128005981445	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.953240394592285	-7.129077434539795	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.963634967803955	-7.04028844833374	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-6.9401655197143555	-7.078698635101318	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-6.81533145904541	-6.85344123840332	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.910693645477295	-6.679319858551025	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-6.978992462158203	-7.063620090484619	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.9791412353515625	-6.722371578216553	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-7.045261383056641	-7.113041877746582	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-6.939295291900635	-6.97559928894043	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-7.053187370300293	-7.159401893615723	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-7.087278842926025	-7.2042012214660645	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.90886116027832	-7.015649318695068	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-7.054901599884033	-6.818300724029541	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-6.863011837005615	-6.881155490875244	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.84743070602417	-6.665433406829834	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-7.06226110458374	-6.918394565582275	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-6.972141265869141	-6.998281955718994	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-6.9868083000183105	-7.017312526702881	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-7.001415252685547	-7.142189979553223	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-6.982512950897217	-6.855088233947754	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-7.026082515716553	-6.827645778656006	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.857947826385498	-6.930616855621338	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.96556282043457	-6.737071990966797	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.858767509460449	-6.663710594177246	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-6.976424694061279	-6.715250492095947	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.934647083282471	-6.763899326324463	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.799267292022705	-6.6204023361206055	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-6.957849025726318	-6.988218307495117	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-6.8523406982421875	-6.93379545211792	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.90996789932251	-6.992724895477295	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-7.037368297576904	-7.151600360870361	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-6.802577972412109	-6.80897855758667	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-6.883973598480225	-6.9164228439331055	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-7.091214179992676	-6.869705677032471	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-7.10981559753418	-7.130853176116943	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-6.937938690185547	-7.01936674118042	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.997746467590332	-6.773348331451416	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-6.931393146514893	-6.959259033203125	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-7.0228986740112305	-7.047557353973389	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-7.1052165031433105	-6.983943939208984	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-7.034003257751465	-6.918708801269531	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	beagle	-7.017786979675293	-6.967601776123047	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	dachshund	-7.192333221435547	-6.827775955200195	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	bulldog	-7.063517093658447	-6.790923595428467	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	dalmatian	-7.164652347564697	-6.88300085067749	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	chihuahua	-7.146765232086182	-6.622889518737793	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	dalmatian	-7.006735801696777	-6.768174648284912	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	dachshund	-6.844133377075195	-6.508991718292236	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	poodle	-7.129820346832275	-6.932142734527588	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	labrador	-7.070476531982422	-6.9410905838012695	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	beagle	-7.184554576873779	-7.1423845291137695	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	beagle	-7.175332069396973	-7.114964962005615	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	poodle	-7.261413097381592	-7.024778366088867	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	spaniel	-7.205261707305908	-7.312406539916992	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	collie	-7.200205326080322	-7.107568264007568	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	wolfhound	-7.125222206115723	-7.096279144287109	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	labrador	-7.2188897132873535	-7.070231914520264	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	poodle	-7.107240676879883	-6.855297565460205	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	spaniel	-7.24056339263916	-7.305409908294678	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	dalmatian	-7.1459527015686035	-6.875208377838135	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	collie	-7.255350112915039	-7.137230396270752	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	chihuahua	-7.18889045715332	-6.679799556732178	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	beagle	-7.30136251449585	-7.25383996963501	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	poodle	-7.211686134338379	-6.984593391418457	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	dachshund	-7.033390998840332	-6.6654815673828125	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	chihuahua	-7.110658168792725	-6.620088577270508	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	bulldog	-7.208666801452637	-6.971014976501465	True
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	spaniel	-7.24817419052124	-7.320000648498535	False
You are an AI assistant that has basic knowledge about most concepts.	What's in this image? Answer as quickly as possible using one or two words.	dog	labrador	-6.942426681518555	-6.787285327911377	True
