,category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type,class
0,tree,palm_1,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,novice,fastest,
1,tree,birch_3,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree limb,False,True,True,novice,fastest,
2,tree,willow_2,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Trees,False,True,True,novice,fastest,
3,tree,willow_1,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
4,tree,palm_4,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,novice,fastest,
5,tree,birch_1,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
6,tree,hazel_3,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
7,tree,beech_1,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
8,tree,sycamore_3,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
9,tree,sycamore_4,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
10,tree,spruce_4,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
11,tree,ash_3,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
12,tree,hazel_2,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
13,tree,hazel_1,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
14,tree,oak_2,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
15,tree,oak_4,You are an AI assistant that has basic knowledge about most concepts.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,novice,fastest,
