preamble	prompt	category	stimulus	basic_score	subordinate_score	prefer_subordinate
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.644993782043457	-6.459989547729492	True
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-6.943768501281738	-6.947144031524658	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.744859218597412	-6.7283034324646	True
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.757650375366211	-6.719864845275879	True
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.733339309692383	-6.532395362854004	True
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.007807731628418	-7.028573036193848	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.775261402130127	-6.9868340492248535	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.822523593902588	-6.9901251792907715	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.7920756340026855	-6.804272651672363	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.648806571960449	-6.639435291290283	True
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-6.801985263824463	-6.879647254943848	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.063401699066162	-7.388897895812988	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.676726818084717	-6.884654521942139	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.779285907745361	-6.994683265686035	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.8406453132629395	-7.063076972961426	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.8377532958984375	-7.046224594116211	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.834428310394287	-6.844167232513428	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-6.907720565795898	-6.9342122077941895	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.862318515777588	-6.8726487159729	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.906457901000977	-7.092866897583008	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.986654758453369	-6.940032482147217	True
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.070417404174805	-7.126567363739014	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-6.833499431610107	-6.888530731201172	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-6.830293655395508	-7.1508283615112305	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-6.636419296264648	-6.9683332443237305	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-6.9571614265441895	-7.002564907073975	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.784367561340332	-6.976499557495117	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.680111885070801	-6.870211601257324	False
You are an AI assistant that is an expert on flowers.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-6.645136833190918	-6.771650314331055	False
