preamble	prompt	category	stimulus	basic_score	subordinate_score	prefer_subordinate
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.6115403175354	-7.466921806335449	True
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.503005504608154	-7.49845027923584	True
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.210866451263428	-7.208352088928223	True
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.4395318031311035	-7.412200450897217	True
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.653192520141602	-7.496931552886963	True
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.419193267822266	-7.430264949798584	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.296252727508545	-7.443497180938721	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.34546422958374	-7.46214485168457	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.162106037139893	-7.156972408294678	True
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.315702438354492	-7.28385591506958	True
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.469048500061035	-7.51901388168335	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.507770538330078	-7.744910717010498	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.22380256652832	-7.3681793212890625	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.368592262268066	-7.517249584197998	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.397889137268066	-7.559385776519775	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.451355457305908	-7.603265762329102	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.510416030883789	-7.493526935577393	True
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.3542866706848145	-7.365771770477295	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.520252227783203	-7.505273818969727	True
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.615618705749512	-7.740777492523193	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.541895866394043	-7.510233402252197	True
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.748507976531982	-7.781461715698242	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.4595537185668945	-7.491003513336182	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.364253997802734	-7.600689888000488	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.3772382736206055	-7.619911193847656	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.410411834716797	-7.4410834312438965	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.210659027099609	-7.351405143737793	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.464121341705322	-7.601820468902588	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-7.26015567779541	-7.3448805809021	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.2202229499816895	-7.458557605743408	False
You are an AI assistant that has basic knowledge about most concepts. You know a little bit about dogs, trees, flowers and birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.425331115722656	-7.530949115753174	False
