preamble	prompt	category	stimulus	basic_score	subordinate_score	prefer_subordinate
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.22070837020874	-7.087652683258057	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.525448799133301	-7.512231826782227	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.438177585601807	-7.422569751739502	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.543923377990723	-7.510180473327637	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.342907905578613	-7.196715354919434	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.561366558074951	-7.560545921325684	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.254932403564453	-7.3918070793151855	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.352754592895508	-7.456524848937988	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.1834330558776855	-7.176698684692383	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.3154683113098145	-7.283674240112305	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.594935894012451	-7.638768196105957	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.518059253692627	-7.739381790161133	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.233374118804932	-7.365172386169434	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.2069196701049805	-7.346472263336182	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.372838020324707	-7.523323059082031	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.4245123863220215	-7.566521167755127	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.32309103012085	-7.310616970062256	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.522728443145752	-7.522103786468506	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.407444477081299	-7.394718170166016	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.48922872543335	-7.603072643280029	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.553806781768799	-7.519706726074219	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.893574237823486	-7.924037933349609	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.739613056182861	-7.766940116882324	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.304460048675537	-7.522852420806885	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.182873249053955	-7.407728672027588	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.646766185760498	-7.6701788902282715	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.379971027374268	-7.51060676574707	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.433463096618652	-7.562994956970215	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-7.2468953132629395	-7.324892044067383	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.399045467376709	-7.621089458465576	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.410985469818115	-7.505192756652832	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-7.398955821990967	-7.473570823669434	False
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.499133586883545	-7.356668472290039	True
You are an AI assistant that is an expert on birds. You have a great deal of experience in birdwatching, and spend a lot of time around birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.359830379486084	-7.371368408203125	False
