category,stimulus,preamble,prompt,response_no,response,matches,preamble_type,ground_truth,prompt_type
flower,dandelion_4,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,tulip_4,You are an AI assistant.,Does this image contain a tulip? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,lotus_4,You are an AI assistant.,Does this image contain a lotus? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,lily_1,You are an AI assistant.,Does this image contain a lily? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,lily_3,You are an AI assistant.,Does this image contain a lily? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,rose_4,You are an AI assistant.,Does this image contain a rose? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,lily_2,You are an AI assistant.,Does this image contain a lily? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,tulip_3,You are an AI assistant.,Does this image contain a tulip? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,lotus_3,You are an AI assistant.,Does this image contain a lotus? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,dandelion_3,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,rose_1,You are an AI assistant.,Does this image contain a rose? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,dandelion_2,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,lotus_2,You are an AI assistant.,Does this image contain a lotus? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,tulip_2,You are an AI assistant.,Does this image contain a tulip? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,rose_2,You are an AI assistant.,Does this image contain a rose? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,rose_3,You are an AI assistant.,Does this image contain a rose? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,dandelion_1,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,tulip_1,You are an AI assistant.,Does this image contain a tulip? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,lotus_1,You are an AI assistant.,Does this image contain a lotus? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,lily_4,You are an AI assistant.,Does this image contain a lily? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,buttercup_1,You are an AI assistant.,Does this image contain a buttercup? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,buttercup_3,You are an AI assistant.,Does this image contain a buttercup? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,poppy_4,You are an AI assistant.,Does this image contain a poppy? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,orchid_4,You are an AI assistant.,Does this image contain an orchid? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,buttercup_2,You are an AI assistant.,Does this image contain a buttercup? Answer true or false.,response_0,False.,False,default,True,subordinate
flower,poppy_1,You are an AI assistant.,Does this image contain a poppy? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,orchid_1,You are an AI assistant.,Does this image contain an orchid? Answer true or false.,response_0,True.,True,default,True,subordinate
flower,poppy_2,You are an AI assistant.,Does this image contain a poppy? Answer true or false.,response_0,True.,True,default,True,subordinate
