category,stimulus,preamble,prompt,response_no,response,matches,preamble_type,ground_truth,prompt_type
tree,beech_1,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a beech tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,birch_2,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a birch tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,birch_3,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a birch tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,beech_2,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a beech tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,birch_1,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a birch tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,beech_3,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a beech tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,birch_4,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a birch tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,beech_4,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a beech tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,sycamore_4,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a sycamore tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,oak_2,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain an oak tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,oak_3,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain an oak tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,spruce_4,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a spruce tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,oak_1,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain an oak tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,spruce_3,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a spruce tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,oak_4,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain an oak tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,sycamore_2,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a sycamore tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,sycamore_3,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a sycamore tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,spruce_2,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a spruce tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,sycamore_1,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a sycamore tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,spruce_1,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a spruce tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,palmtree_2,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a palmtree tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,hazel_1,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a hazel tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,palmtree_3,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a palmtree tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,palmtree_1,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a palmtree tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,hazel_3,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a hazel tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,elm_4,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain an elm tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,hazel_2,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a hazel tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,palmtree_4,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a palmtree tree? Answer true or false.,response_0,True.,True,tf,True,subordinate
tree,elm_1,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain an elm tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,elm_3,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain an elm tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,elm_2,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain an elm tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
tree,hazel_4,You are an AI assistant that helps people find information. Answer in as few words as possible.,Does this image contain a hazel tree? Answer true or false.,response_0,False.,False,tf,True,subordinate
