,category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type,class
0,tree,palm_1,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,botanist,fastest,
1,tree,birch_3,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
2,tree,willow_2,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
3,tree,willow_1,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Water tree,False,True,True,botanist,fastest,
4,tree,palm_4,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,botanist,fastest,
5,tree,birch_1,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
6,tree,hazel_3,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
7,tree,beech_1,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Leaves,False,False,False,botanist,fastest,24
8,tree,sycamore_3,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
9,tree,sycamore_4,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
10,tree,spruce_4,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Plant,False,False,True,botanist,fastest,basic
11,tree,ash_3,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
12,tree,hazel_2,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
13,tree,hazel_1,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
14,tree,oak_2,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
15,tree,oak_4,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
16,tree,sycamore_2,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
17,tree,birch_2,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
18,tree,sycamore_1,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
19,tree,beech_3,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
20,tree,willow_3,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
21,tree,spruce_3,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
22,tree,spruce_1,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
23,tree,ash_1,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
24,tree,ash_2,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
25,tree,spruce_2,You are an AI assistant that is an expert botanist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,botanist,fastest,
