category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type
dog,shiba_inu_94,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, snow.",False,True,True,birdexpert,fastest
dog,english_setter_158,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,birdexpert,fastest
dog,havanese_113,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,birdexpert,fastest
dog,shiba_inu_42,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,birdexpert,fastest
dog,saint_bernard_110,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog puppy.,False,True,True,birdexpert,fastest
dog,basset_hound_139,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,birdexpert,fastest
dog,pomeranian_72,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,birdexpert,fastest
dog,keeshond_147,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,birdexpert,fastest
dog,chihuahua_175,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,birdexpert,fastest
dog,keeshond_185,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,birdexpert,fastest
dog,scottish_terrier_120,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Puppy,False,False,True,birdexpert,fastest
dog,shiba_inu_45,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog running,False,True,True,birdexpert,fastest
dog,scottish_terrier_36,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,birdexpert,fastest
dog,pomeranian_76,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,birdexpert,fastest
dog,american_bulldog_144,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,birdexpert,fastest
dog,basset_hound_47,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,birdexpert,fastest
dog,american_bulldog_192,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,birdexpert,fastest
dog,pug_56,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Jumping dog.,False,True,True,birdexpert,fastest
dog,basset_hound_171,You are an AI assistant that is an expert on birds.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,birdexpert,fastest
