category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type
Tree,beech_1,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Red tree,False,True,True,tree_explicit,fastest
Tree,birch_2,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,birch_3,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,beech_2,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,birch_1,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Single tree,False,True,True,tree_explicit,fastest
Tree,beech_3,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,birch_4,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Birch tree.,True,True,False,tree_explicit,fastest
Tree,beech_4,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Red tree,False,True,True,tree_explicit,fastest
Tree,sycamore_4,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Oak tree,True,True,False,tree_explicit,fastest
Tree,oak_2,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Oak tree.,True,True,False,tree_explicit,fastest
Tree,oak_3,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Oak tree.,True,True,False,tree_explicit,fastest
Tree,spruce_4,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Conifer tree.,True,True,False,tree_explicit,fastest
Tree,oak_1,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Oak tree.,True,True,False,tree_explicit,fastest
Tree,spruce_3,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,oak_4,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Oak tree.,True,True,False,tree_explicit,fastest
Tree,sycamore_2,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,sycamore_3,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,spruce_2,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Conifer tree.,True,True,False,tree_explicit,fastest
Tree,sycamore_1,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,spruce_1,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Pine tree.,True,True,False,tree_explicit,fastest
Tree,palmtree_2,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree.,True,True,False,tree_explicit,fastest
Tree,hazel_1,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,palmtree_3,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree.,True,True,False,tree_explicit,fastest
Tree,palmtree_1,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree.,True,True,False,tree_explicit,fastest
Tree,hazel_3,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Oak tree.,True,True,False,tree_explicit,fastest
Tree,elm_4,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,hazel_2,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,palmtree_4,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree.,True,True,False,tree_explicit,fastest
Tree,elm_1,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,elm_3,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,elm_2,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,hazel_4,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,ash_1,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,willow_4,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Willow tree.,True,True,False,tree_explicit,fastest
Tree,ash_2,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,ash_3,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,tree_explicit,fastest
Tree,willow_2,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Weeping willow.,True,False,False,tree_explicit,fastest
Tree,willow_3,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Willow tree.,True,True,False,tree_explicit,fastest
Tree,ash_4,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Oak tree.,True,True,False,tree_explicit,fastest
Tree,willow_1,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Willow tree.,True,True,False,tree_explicit,fastest
Flower,dandelion_4,"You are an AI assistant. You know a little bit about birds, dogs, and flowers, and have expert knowledge about trees.",What's in this image? Answer as quickly as possible using one or two words.,response_0,Yellow flower,False,True,True,tree_explicit,fastest
