,category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type,class
0,tree,palm_1,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,treeexpert,fastest,
1,tree,birch_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
2,tree,willow_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
3,tree,willow_1,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
4,tree,palm_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,treeexpert,fastest,
5,tree,birch_1,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
6,tree,hazel_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
7,tree,beech_1,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
8,tree,sycamore_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
9,tree,sycamore_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
10,tree,spruce_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
11,tree,ash_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
12,tree,hazel_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
13,tree,hazel_1,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
14,tree,oak_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
15,tree,oak_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
16,tree,sycamore_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
17,tree,birch_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
18,tree,sycamore_1,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
19,tree,beech_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
20,tree,willow_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
21,tree,spruce_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
22,tree,spruce_1,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
23,tree,ash_1,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
24,tree,ash_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
25,tree,spruce_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
26,tree,oak_1,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
27,tree,oak_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
28,tree,elm_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
29,tree,ash_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Leaves,False,False,False,treeexpert,fastest,24
30,tree,beech_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
31,tree,elm_1,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Trees,False,True,True,treeexpert,fastest,
32,tree,palm_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,treeexpert,fastest,
33,tree,willow_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
34,tree,hazel_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
35,tree,elm_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
36,tree,birch_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
37,tree,palm_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
38,tree,elm_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
39,tree,beech_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,treeexpert,fastest,
40,flower,poppy_1,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,treeexpert,fastest,
41,flower,rose_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Rose,True,False,False,treeexpert,fastest,sub
42,flower,lily_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Lilies,True,False,False,treeexpert,fastest,sub
43,flower,dandelion_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flowers,False,True,True,treeexpert,fastest,
44,flower,lotus_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,treeexpert,fastest,
45,flower,dandelion_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,treeexpert,fastest,
46,flower,lily_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,treeexpert,fastest,
47,flower,lily_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Lily,True,False,False,treeexpert,fastest,sub
48,flower,rose_4,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Rose,True,False,False,treeexpert,fastest,sub
49,flower,lotus_3,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,treeexpert,fastest,
50,flower,poppy_2,You are an AI assistant that is an expert on trees.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,treeexpert,fastest,
