preamble	prompt	category	stimulus	basic_score	subordinate_score	prefer_subordinate
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.650140285491943	-6.466536998748779	True
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-6.972667217254639	-6.967648506164551	True
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.763268947601318	-6.751830577850342	True
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.7667036056518555	-6.73272180557251	True
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.7453813552856445	-6.543683052062988	True
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.023158550262451	-7.0352783203125	False
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.788690090179443	-6.999857425689697	False
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.836393356323242	-7.003133773803711	False
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.80640983581543	-6.813683032989502	False
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.660679340362549	-6.6441850662231445	True
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-6.813262939453125	-6.893516540527344	False
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.090446472167969	-7.417801380157471	False
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.702674865722656	-6.908188819885254	False
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.801065444946289	-7.014363765716553	False
You are an AI assistant that is an expert on birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.855905532836914	-7.079017162322998	False
