category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type
dog,shiba_inu_94,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Shiba Inu.,True,False,False,default,fastest
dog,english_setter_158,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,havanese_113,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, chair.",False,True,True,default,fastest
dog,shiba_inu_42,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Shiba Inu.,True,False,False,default,fastest
dog,saint_bernard_110,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Puppy,False,True,True,default,fastest
dog,basset_hound_139,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,pomeranian_72,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,keeshond_147,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog resting.,False,True,True,default,fastest
dog,chihuahua_175,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, bed.",False,True,True,default,fastest
dog,keeshond_185,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,scottish_terrier_120,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Puppy,False,True,True,default,fastest
dog,shiba_inu_45,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog running,False,True,True,default,fastest
dog,scottish_terrier_36,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,pomeranian_76,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,american_bulldog_144,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,basset_hound_47,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Basset Hound.,True,False,False,default,fastest
dog,american_bulldog_192,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,pug_56,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Jumping Dog.,False,True,True,default,fastest
dog,basset_hound_171,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,scottish_terrier_5,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Scottish Terrier.,True,False,False,default,fastest
dog,havanese_72,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,english_setter_92,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,scottish_terrier_52,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Scottish Terrier.,True,False,False,default,fastest
dog,keeshond_69,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, garden.",False,True,True,default,fastest
dog,newfoundland_182,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,havanese_173,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, tape measure.",False,True,True,default,fastest
dog,havanese_198,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, garden",False,True,True,default,fastest
dog,chihuahua_103,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Chihuahua.,True,False,False,default,fastest
dog,scottish_terrier_44,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Scottish Terrier.,True,False,False,default,fastest
dog,pug_176,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Pug dog,True,False,False,default,fastest
dog,newfoundland_1,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Newfoundland puppy,True,False,False,default,fastest
dog,keeshond_109,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,english_setter_81,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Running Dog.,False,True,True,default,fastest
dog,havanese_49,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,american_bulldog_16,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,saint_bernard_31,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Puppy resting.,False,True,True,default,fastest
dog,saint_bernard_188,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,keeshond_86,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, hallway.",False,True,True,default,fastest
dog,newfoundland_2,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Black puppy.,False,True,True,default,fastest
dog,american_bulldog_133,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,basset_hound_6,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog yawning.,False,True,True,default,fastest
dog,english_setter_83,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, frisbee.",False,True,True,default,fastest
dog,keeshond_4,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,keeshond_123,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,shiba_inu_7,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Shiba Inu.,True,False,False,default,fastest
dog,shiba_inu_160,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Sleeping Dog.,False,True,True,default,fastest
dog,chihuahua_135,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,pug_196,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Pug dog,True,False,False,default,fastest
dog,american_bulldog_24,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,scottish_terrier_98,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, leaves.",False,True,True,default,fastest
dog,havanese_144,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,english_setter_127,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, snow.",False,True,True,default,fastest
dog,newfoundland_174,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,saint_bernard_152,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, ball.",False,True,True,default,fastest
dog,shiba_inu_28,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, ball.",False,True,True,default,fastest
dog,shiba_inu_16,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Shiba Inu.,True,False,False,default,fastest
dog,pomeranian_18,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, toys.",False,True,True,default,fastest
dog,basset_hound_190,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, lake",False,True,True,default,fastest
dog,chihuahua_22,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Chihuahua, grass",True,False,False,default,fastest
dog,american_bulldog_100,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, flowers.",False,True,True,default,fastest
dog,pug_156,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Pug puppy,True,False,False,default,fastest
dog,saint_bernard_28,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, furniture.",False,True,True,default,fastest
dog,newfoundland_37,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Black Dog.,False,True,True,default,fastest
dog,havanese_92,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,newfoundland_177,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,default,fastest
dog,newfoundland_188,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, bone.",False,True,True,default,fastest
dog,newfoundland_198,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tibetan Mastiff,True,False,False,default,fastest
dog,shiba_inu_166,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Shiba Inu.,True,False,False,default,fastest
dog,saint_bernard_169,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,keeshond_98,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, snow.",False,True,True,default,fastest
dog,shiba_inu_210,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Sleeping Dog.,False,True,True,default,fastest
dog,american_bulldog_22,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,scottish_terrier_74,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
dog,english_setter_121,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, car.",False,True,True,default,fastest
dog,scottish_terrier_63,You are an AI assistant.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,default,fastest
