preamble	prompt	category	stimulus	basic_score	subordinate_score	prefer_subordinate
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.500398635864258	-7.355035305023193	True
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.609501361846924	-7.596653938293457	True
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.134505271911621	-7.131139755249023	True
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.227448463439941	-7.202638626098633	True
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.408588409423828	-7.253756046295166	True
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.339626789093018	-7.343908786773682	False
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.221020221710205	-7.370047569274902	False
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.193390369415283	-7.308017730712891	False
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.956131458282471	-6.954219341278076	True
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.02023458480835	-6.994997501373291	True
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.367814540863037	-7.417223930358887	False
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.606980323791504	-7.846970558166504	False
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.962197780609131	-7.110735893249512	False
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.116826057434082	-7.270176410675049	False
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.102899551391602	-7.262093544006348	False
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.350193500518799	-7.500276565551758	False
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.287750720977783	-7.273972034454346	True
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.336959362030029	-7.337794780731201	False
You are an AI assistant. You know a little bit about dogs, trees, and flowers, and have expert knowledge about birds.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.503317356109619	-7.48561429977417	True
