category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type
dog,shiba_inu_94,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Shiba Inu.,True,False,False,dogexpert,fastest
dog,english_setter_158,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,English Setter,True,False,False,dogexpert,fastest
dog,havanese_113,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Dog, chair.",False,True,True,dogexpert,fastest
dog,shiba_inu_42,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Shiba Inu.,True,False,False,dogexpert,fastest
dog,saint_bernard_110,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Saint Bernard puppy.,True,False,False,dogexpert,fastest
dog,basset_hound_139,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Basset Hound.,True,False,False,dogexpert,fastest
dog,pomeranian_72,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,dogexpert,fastest
dog,keeshond_147,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog lounging.,False,True,True,dogexpert,fastest
dog,chihuahua_175,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Chihuahua.,True,False,False,dogexpert,fastest
dog,keeshond_185,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog.,False,True,True,dogexpert,fastest
dog,scottish_terrier_120,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Puppy,False,False,True,dogexpert,fastest
dog,shiba_inu_45,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Running dog.,False,True,True,dogexpert,fastest
dog,scottish_terrier_36,You are an AI assistant that is an expert on dogs.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Scottish Terrier.,True,False,False,dogexpert,fastest
