category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type
Tree,beech_1,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Red tree.,False,True,True,information,fastest
Tree,birch_2,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,birch_3,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,beech_2,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,birch_1,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,beech_3,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,birch_4,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,beech_4,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Red tree.,False,True,True,information,fastest
Tree,sycamore_4,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Autumn tree,False,True,True,information,fastest
Tree,oak_2,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,oak_3,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,spruce_4,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Pine tree.,True,True,False,information,fastest
Tree,oak_1,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,spruce_3,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Pine tree.,True,True,False,information,fastest
Tree,oak_4,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,sycamore_2,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,sycamore_3,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
Tree,spruce_2,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Pine tree.,True,True,False,information,fastest
Tree,sycamore_1,You are an AI assistant that helps people find information.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,information,fastest
