preamble	prompt	category	stimulus	basic_score	subordinate_score	prefer_subordinate
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.635096549987793	-6.4600138664245605	True
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-6.956489086151123	-6.971339702606201	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.750590801239014	-6.749067306518555	True
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.7538604736328125	-6.727845668792725	True
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.728419780731201	-6.536134243011475	True
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.005544662475586	-7.0358805656433105	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.769379138946533	-6.982985496520996	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.818174839019775	-6.98997688293457	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.7914323806762695	-6.803274631500244	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.6463541984558105	-6.636866092681885	True
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-6.797698497772217	-6.885986328125	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.036940097808838	-7.364342212677002	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.685776233673096	-6.897786617279053	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.7912092208862305	-7.00849723815918	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.834547519683838	-7.063549518585205	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.844878673553467	-7.060304164886475	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.8276286125183105	-6.834012031555176	False
You are an AI assistant that is an expert on trees.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-6.902070999145508	-6.936115264892578	False
