category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type
Tree,beech_1,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Red tree.,False,True,True,ornithologist,fastest
Tree,birch_2,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,birch_3,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Isolated tree.,False,True,True,ornithologist,fastest
Tree,beech_2,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,birch_1,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,beech_3,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,birch_4,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,beech_4,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Red tree.,False,True,True,ornithologist,fastest
Tree,sycamore_4,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,oak_2,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,oak_3,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Oak tree.,True,True,False,ornithologist,fastest
Tree,spruce_4,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Conifer tree.,True,True,False,ornithologist,fastest
Tree,oak_1,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,spruce_3,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Pine tree.,True,True,False,ornithologist,fastest
Tree,oak_4,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,sycamore_2,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,sycamore_3,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,spruce_2,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Conifer tree.,True,True,False,ornithologist,fastest
Tree,sycamore_1,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,ornithologist,fastest
Tree,spruce_1,You are an AI assistant that is an expert ornithologist.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Pine tree.,True,True,False,ornithologist,fastest
