,category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type,class
0,tree,palm_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,forester,fastest,
1,tree,birch_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
2,tree,willow_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
3,tree,willow_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
4,tree,palm_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,forester,fastest,
5,tree,birch_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
6,tree,hazel_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
7,tree,beech_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
8,tree,sycamore_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
9,tree,sycamore_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
10,tree,spruce_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Christmas tree,False,True,True,forester,fastest,
11,tree,ash_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
12,tree,hazel_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
13,tree,hazel_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
14,tree,oak_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
15,tree,oak_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
16,tree,sycamore_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
17,tree,birch_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
18,tree,sycamore_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
19,tree,beech_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
20,tree,willow_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
21,tree,spruce_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
22,tree,spruce_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
23,tree,ash_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
24,tree,ash_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
25,tree,spruce_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
26,tree,oak_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
27,tree,oak_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
28,tree,elm_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
29,tree,ash_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
30,tree,beech_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
31,tree,elm_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
32,tree,palm_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm tree,True,True,False,forester,fastest,
33,tree,willow_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
34,tree,hazel_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
35,tree,elm_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
36,tree,birch_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
37,tree,palm_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Palm,True,False,False,forester,fastest,
38,tree,elm_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
39,tree,beech_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tree,False,True,True,forester,fastest,
40,flower,poppy_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
41,flower,rose_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Rose,True,False,False,forester,fastest,sub
42,flower,lily_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
43,flower,dandelion_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
44,flower,lotus_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
45,flower,dandelion_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
46,flower,lily_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
47,flower,lily_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
48,flower,rose_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Rose,True,False,False,forester,fastest,sub
49,flower,lotus_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
50,flower,poppy_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
51,flower,daffodil_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flowers,False,True,True,forester,fastest,
52,flower,tulip_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
53,flower,sunflower_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Sunflower,True,True,False,forester,fastest,
54,flower,orchid_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
55,flower,buttercup_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
56,flower,lily_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
57,flower,rose_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
58,flower,orchid_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
59,flower,daffodil_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Lilies,True,False,False,forester,fastest,sub
60,flower,poppy_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
61,flower,dandelion_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
62,flower,sunflower_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Sunflower,True,True,False,forester,fastest,
63,flower,daffodil_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Daffodil,True,False,False,forester,fastest,sub
64,flower,sunflower_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Sunflower,True,True,False,forester,fastest,
65,flower,sunflower_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Sunflower,True,True,False,forester,fastest,
66,flower,tulip_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Purple flower,False,True,True,forester,fastest,
67,flower,lotus_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
68,flower,poppy_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
69,flower,rose_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
70,flower,tulip_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flowers,False,True,True,forester,fastest,
71,flower,buttercup_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flowers,False,True,True,forester,fastest,
72,flower,daffodil_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
73,flower,tulip_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
74,flower,lotus_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
75,flower,dandelion_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
76,flower,buttercup_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
77,flower,buttercup_3,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
78,flower,orchid_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Orchid,True,False,False,forester,fastest,sub
79,flower,orchid_4,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Flower,False,True,True,forester,fastest,
80,dog,beagle_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,forester,fastest,
81,dog,dachshund_1,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,forester,fastest,
82,dog,bulldog_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,True,True,False,forester,fastest,
83,dog,dalmatian_2,You are an AI assistant that is an expert forester.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Dog,False,True,True,forester,fastest,
