preamble	prompt	category	stimulus	basic_score	subordinate_score	prefer_subordinate
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.837305068969727	-6.642969131469727	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.175528526306152	-7.177235126495361	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.948281288146973	-6.928766250610352	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.917395114898682	-6.876208305358887	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.915867328643799	-6.704394817352295	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.1021528244018555	-7.124140739440918	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.944255828857422	-7.159168720245361	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.922776222229004	-7.094923496246338	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.886794090270996	-6.892498016357422	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.8642144203186035	-6.840301990509033	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.124420166015625	-7.200860977172852	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.3081865310668945	-7.644071578979492	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.881140232086182	-7.091792583465576	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.07881498336792	-7.29409646987915	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.11448335647583	-7.3445234298706055	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-7.029597282409668	-7.248141765594482	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.901998996734619	-6.905468940734863	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.167068958282471	-7.192202568054199	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-7.047824382781982	-7.048707485198975	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.184387683868408	-7.369745254516602	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.202388286590576	-7.154129505157471	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.3601813316345215	-7.4189958572387695	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.104445457458496	-7.160118579864502	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.101455211639404	-7.431588172912598	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-6.873246192932129	-7.215720176696777	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.193840026855469	-7.2390456199646	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.99359130859375	-7.1947431564331055	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.811670303344727	-7.009033679962158	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-7.015216827392578	-7.1372222900390625	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-6.9685773849487305	-7.30640983581543	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.973894119262695	-7.133138656616211	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-7.015138149261475	-7.137845993041992	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.180764675140381	-6.97294807434082	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.986945629119873	-7.008668899536133	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-7.0361223220825195	-7.247068881988525	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-7.0962042808532715	-7.219165325164795	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.013820171356201	-7.0322265625	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.254439353942871	-7.051072597503662	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-7.092662811279297	-7.216102600097656	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-7.026360034942627	-7.208524703979492	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.907430648803711	-6.987174987792969	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-6.941319465637207	-7.086336135864258	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-6.684616565704346	-6.723822116851807	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.77667236328125	-6.540116786956787	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-6.960763931274414	-7.048671245574951	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.831311225891113	-6.568615436553955	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-6.885658264160156	-6.955541610717773	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-6.859035015106201	-6.896243572235107	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-6.918921947479248	-7.027088165283203	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-6.74954080581665	-6.870750904083252	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.915279865264893	-7.0272908210754395	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-6.892643451690674	-6.652310371398926	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-6.918610095977783	-6.936448574066162	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.88332986831665	-6.692046642303467	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-6.975070476531982	-6.825771808624268	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-6.856810092926025	-6.885725975036621	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-6.955224990844727	-6.986660957336426	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-6.843681335449219	-6.987430095672607	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-6.937077522277832	-6.803894519805908	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-7.083607196807861	-6.872287750244141	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.895419120788574	-6.9709792137146	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.847341537475586	-6.613245487213135	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.811419486999512	-6.608298301696777	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-6.960257053375244	-6.687705039978027	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.757917404174805	-6.58299446105957	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.809386730194092	-6.621776103973389	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-6.772891044616699	-6.803211688995361	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-6.823269367218018	-6.907534599304199	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.8664231300354	-6.952132701873779	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-7.089885234832764	-7.210791110992432	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-6.704355239868164	-6.709865093231201	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-6.793734550476074	-6.829639434814453	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-7.011068344116211	-6.782422065734863	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-7.159917831420898	-7.180793285369873	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-6.852660655975342	-6.936873912811279	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.967268466949463	-6.733670234680176	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-6.986044406890869	-7.013291358947754	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-6.815715312957764	-6.845719337463379	False
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-7.045210361480713	-6.918919086456299	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-7.002563953399658	-6.882100582122803	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	dog	beagle	-6.8774285316467285	-6.828742980957031	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	dog	dachshund	-7.068828582763672	-6.6968302726745605	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	dog	bulldog	-7.037553787231445	-6.754374980926514	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	dog	dalmatian	-7.099438190460205	-6.806455612182617	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	dog	chihuahua	-7.025936603546143	-6.492027759552002	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	dog	dalmatian	-6.982438087463379	-6.734219551086426	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	dog	dachshund	-6.832087516784668	-6.48191499710083	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	dog	poodle	-7.020645618438721	-6.819059371948242	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	dog	labrador	-6.943701267242432	-6.812851905822754	True
You are an AI assistant that helps people find information.	What's in this image? Answer as quickly as possible using one or two words.	dog	beagle	-7.035109519958496	-6.993635654449463	True
