preamble	prompt	category	stimulus	basic_score	subordinate_score	prefer_subordinate
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.66731071472168	-6.48249626159668	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-6.998775959014893	-7.003288269042969	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.782382011413574	-6.7698588371276855	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.788093566894531	-6.754282474517822	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.759673595428467	-6.557670593261719	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-7.0508198738098145	-7.07320499420166	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.832942485809326	-7.0450119972229	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.851434230804443	-7.016324043273926	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.822687149047852	-6.828733921051025	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.672255992889404	-6.656773567199707	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-6.845184803009033	-6.92416524887085	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.161488056182861	-7.485841274261475	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.717616081237793	-6.92489767074585	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.824026584625244	-7.039117336273193	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.88310432434082	-7.103625297546387	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.879069805145264	-7.0877685546875	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.877140998840332	-6.8803863525390625	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-6.962736129760742	-6.988636016845703	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.902918815612793	-6.909681797027588	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.944872856140137	-7.127669811248779	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-7.036913871765137	-6.9958577156066895	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.135018825531006	-7.193583011627197	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-6.882216930389404	-6.938912391662598	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-6.883877754211426	-7.204799175262451	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-6.676196098327637	-7.007329940795898	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-7.022514820098877	-7.067525386810303	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.819504261016846	-7.009672164916992	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.707235336303711	-6.894764423370361	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-6.686854362487793	-6.811277389526367	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-6.834763050079346	-7.162054061889648	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.841407299041748	-6.994885444641113	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-6.934813022613525	-7.052916049957275	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.939701557159424	-6.744014263153076	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.881378650665283	-6.905261039733887	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.9308552742004395	-7.138840675354004	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-6.943903923034668	-7.065069675445557	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-6.844125270843506	-6.861496925354004	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-7.034911632537842	-6.8421196937561035	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	elm	-6.893016338348389	-7.015774250030518	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.7469401359558105	-6.924789905548096	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.73207950592041	-6.807689189910889	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-6.795996189117432	-6.932963848114014	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-6.559263706207275	-6.600187301635742	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.711841583251953	-6.483854293823242	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-6.893562316894531	-6.982857704162598	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.665469169616699	-6.415900230407715	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-6.692271709442139	-6.76191520690918	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-6.672065734863281	-6.711353302001953	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-6.854212284088135	-6.957203388214111	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-6.805193901062012	-6.930957794189453	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.772798538208008	-6.879751205444336	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-6.851282596588135	-6.6174516677856445	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-6.753866195678711	-6.769887924194336	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.715641975402832	-6.53319787979126	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-6.906388282775879	-6.7658891677856445	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-6.708142280578613	-6.740968704223633	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	lily	-6.783251762390137	-6.815936088562012	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-6.726962566375732	-6.863022327423096	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-6.850036144256592	-6.724951267242432	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-6.9399590492248535	-6.736896991729736	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.685721397399902	-6.757291793823242	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.747485160827637	-6.523622512817383	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.664844989776611	-6.4673261642456055	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-6.856867790222168	-6.59627103805542	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.711336135864258	-6.538909912109375	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	sunflower	-6.615239143371582	-6.433283805847168	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-6.614748001098633	-6.642606735229492	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-6.774787902832031	-6.864009380340576	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	poppy	-6.692492485046387	-6.774057865142822	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	rose	-6.943743705749512	-7.058487415313721	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-6.633566856384277	-6.640265464782715	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-6.636820316314697	-6.67752742767334	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	daffodil	-6.8072590827941895	-6.591010093688965	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	tulip	-6.9714789390563965	-6.990208625793457	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	lotus	-6.778104782104492	-6.866063117980957	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	dandelion	-6.846837043762207	-6.624905109405518	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-6.875402927398682	-6.904670238494873	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	buttercup	-6.815823554992676	-6.844697952270508	False
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-7.001422882080078	-6.882604122161865	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	flower	orchid	-6.8917717933654785	-6.780585765838623	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	dog	beagle	-6.846856594085693	-6.814391613006592	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	dog	dachshund	-6.9726057052612305	-6.639557361602783	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	dog	bulldog	-6.920910835266113	-6.65479040145874	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	dog	dalmatian	-6.8568034172058105	-6.604319095611572	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	dog	chihuahua	-6.900557994842529	-6.398251056671143	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	dog	dalmatian	-6.810586929321289	-6.58930778503418	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	dog	dachshund	-6.714447021484375	-6.409199237823486	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	dog	poodle	-6.889268398284912	-6.697983264923096	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	dog	labrador	-6.871354579925537	-6.7630109786987305	True
You are an AI assistant that is an expert on dogs.	What's in this image? Answer as quickly as possible using one or two words.	dog	beagle	-6.860682487487793	-6.848536491394043	True
