category,stimulus,preamble,prompt,response_no,response,is_subordinate,contains_basic,is_basic,preamble_type,prompt_type
cat,Abyssinian_206,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Cat's face.,False,True,True,catexpert,fastest
cat,Abyssinian_8,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Siamese cat.,True,True,False,catexpert,fastest
cat,Abyssinian_132,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Cat, cabinet",False,True,True,catexpert,fastest
cat,Abyssinian_140,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Abyssinian cat.,True,True,False,catexpert,fastest
cat,Abyssinian_37,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Cat, bed",False,True,True,catexpert,fastest
cat,Abyssinian_15,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Cat.,False,True,True,catexpert,fastest
cat,Abyssinian_159,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Cat, snow.",False,True,True,catexpert,fastest
cat,Abyssinian_195,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Orange cat.,False,True,True,catexpert,fastest
cat,Abyssinian_12,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Cat Window,False,True,True,catexpert,fastest
cat,Abyssinian_103,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Cat, couch",False,True,True,catexpert,fastest
cat,Bengal_33,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Bengal cat.,True,True,False,catexpert,fastest
cat,Bengal_12,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tabby cat.,False,True,True,catexpert,fastest
cat,Bengal_108,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Cat, box.",False,True,True,catexpert,fastest
cat,Bengal_145,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Cat, sink.",False,True,True,catexpert,fastest
cat,Bengal_162,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Cat, couch",False,True,True,catexpert,fastest
cat,Bengal_83,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Bengal cat.,True,True,False,catexpert,fastest
cat,Bengal_94,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Tabby cat.,False,True,True,catexpert,fastest
cat,Bengal_87,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Cat, couch",False,True,True,catexpert,fastest
cat,Bengal_126,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Cat, leash.",False,True,True,catexpert,fastest
cat,Birman_139,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Siamese cat.,True,True,False,catexpert,fastest
cat,Birman_151,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,"Cat, box.",False,True,True,catexpert,fastest
cat,Birman_196,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Birman cat.,True,True,False,catexpert,fastest
cat,Birman_82,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Ragdoll cat.,True,True,False,catexpert,fastest
cat,Birman_22,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Siamese cat.,True,True,False,catexpert,fastest
cat,Birman_89,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Ragdoll cat.,True,True,False,catexpert,fastest
cat,Birman_114,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Siamese cat.,True,True,False,catexpert,fastest
cat,Birman_27,You are an AI assistant that is an expert on cats.,What's in this image? Answer as quickly as possible using one or two words.,response_0,Ragdoll cat.,True,True,False,catexpert,fastest
