preamble	prompt	category	stimulus	basic_score	subordinate_score	prefer_subordinate
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.615062236785889	-6.401800155639648	True
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-6.9574432373046875	-6.964321136474609	False
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.572840690612793	-6.560145378112793	True
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	willow	-6.5974602699279785	-6.5592241287231445	True
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	palm	-6.713669776916504	-6.480791091918945	True
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	birch	-6.853671550750732	-6.884034633636475	False
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.617847442626953	-6.868162631988525	False
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	beech	-6.748721599578857	-6.9469895362854	False
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.650524616241455	-6.6685895919799805	False
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	sycamore	-6.564013481140137	-6.55190372467041	True
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	spruce	-6.754779815673828	-6.850922584533691	False
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	ash	-7.1106743812561035	-7.490230560302734	False
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.507936000823975	-6.754752159118652	False
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	hazel	-6.577695846557617	-6.832973480224609	False
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.592545986175537	-6.853165626525879	False
You are an AI assistant.	What's in this image? Answer as quickly as possible using one or two words.	tree	oak	-6.714983940124512	-6.962458610534668	False
